C,A,L,final_value,total_return,avg_picks
0.2,0.25,0.0,576139.47,4.7614,84.10
0.2,0.25,0.05,309638.34,2.0964,1.33
0.2,0.25,0.1,647657.64,5.4766,1.33
0.2,0.25,0.15,673548.32,5.7355,1.00
0.2,0.3,0.0,577198.95,4.7720,83.25
0.2,0.3,0.05,414817.59,3.1482,1.35
0.2,0.3,0.1,647657.64,5.4766,1.33
0.2,0.3,0.15,673548.32,5.7355,1.00
0.2,0.35000000000000003,0.0,586729.90,4.8673,82.47
0.2,0.35000000000000003,0.05,414817.59,3.1482,1.35
0.2,0.35000000000000003,0.1,647657.64,5.4766,1.33
0.2,0.35000000000000003,0.15,673548.32,5.7355,1.00
0.2,0.4,0.0,590713.15,4.9071,81.97
0.2,0.4,0.05,370921.00,2.7092,1.38
0.2,0.4,0.1,647657.64,5.4766,1.33
0.2,0.4,0.15,673548.32,5.7355,1.00
0.2,0.45,0.0,594895.85,4.9490,81.63
0.2,0.45,0.05,370921.00,2.7092,1.38
0.2,0.45,0.1,647657.64,5.4766,1.33
0.2,0.45,0.15,673548.32,5.7355,1.00
0.2,0.5,0.0,597136.21,4.9714,81.45
0.2,0.5,0.05,370921.00,2.7092,1.38
0.2,0.5,0.1,647657.64,5.4766,1.33
0.2,0.5,0.15,673548.32,5.7355,1.00
0.25,0.05,0.0,549249.32,4.4925,85.83
0.25,0.05,0.05,264672.97,1.6467,1.42
0.25,0.05,0.1,647657.64,5.4766,1.33
0.25,0.05,0.15,673548.32,5.7355,1.00
0.25,0.1,0.0,565717.03,4.6572,83.22
0.25,0.1,0.05,264672.97,1.6467,1.42
0.25,0.1,0.1,647657.64,5.4766,1.33
0.25,0.1,0.15,673548.32,5.7355,1.00
0.25,0.15000000000000002,0.0,563678.51,4.6368,80.83
0.25,0.15000000000000002,0.05,312776.01,2.1278,1.39
0.25,0.15000000000000002,0.1,647657.64,5.4766,1.33
0.25,0.15000000000000002,0.15,673548.32,5.7355,1.00
0.25,0.2,0.0,574187.73,4.7419,79.08
0.25,0.2,0.05,366077.63,2.6608,1.35
0.25,0.2,0.1,765709.34,6.6571,1.50
0.25,0.2,0.15,673548.32,5.7355,1.00
0.25,0.25,0.0,585204.44,4.8520,77.55
0.25,0.25,0.05,366077.63,2.6608,1.35
0.25,0.25,0.1,765709.34,6.6571,1.50
0.25,0.25,0.15,673548.32,5.7355,1.00
0.25,0.3,0.0,590274.56,4.9027,76.62
0.25,0.3,0.05,490428.41,3.9043,1.38
0.25,0.3,0.1,765709.34,6.6571,1.50
0.25,0.3,0.15,673548.32,5.7355,1.00
0.25,0.35000000000000003,0.0,602378.35,5.0238,75.75
0.25,0.35000000000000003,0.05,490428.41,3.9043,1.38
0.25,0.35000000000000003,0.1,765709.34,6.6571,1.50
0.25,0.35000000000000003,0.15,673548.32,5.7355,1.00
0.25,0.4,0.0,606441.69,5.0644,75.23
0.25,0.4,0.05,438530.57,3.3853,1.40
0.25,0.4,0.1,765709.34,6.6571,1.50
0.25,0.4,0.15,673548.32,5.7355,1.00
0.25,0.45,0.0,612367.21,5.1237,74.87
0.25,0.45,0.05,438530.57,3.3853,1.40
0.25,0.45,0.1,765709.34,6.6571,1.50
0.25,0.45,0.15,673548.32,5.7355,1.00
0.25,0.5,0.0,612869.40,5.1287,74.63
0.25,0.5,0.05,438530.57,3.3853,1.40
0.25,0.5,0.1,765709.34,6.6571,1.50
0.25,0.5,0.15,673548.32,5.7355,1.00
0.3,0.05,0.0,523388.65,4.2339,80.32
0.3,0.05,0.05,264672.97,1.6467,1.42
0.3,0.05,0.1,647657.64,5.4766,1.33
0.3,0.05,0.15,673548.32,5.7355,1.00
0.3,0.1,0.0,539078.08,4.3908,77.62
0.3,0.1,0.05,264672.97,1.6467,1.42
0.3,0.1,0.1,647657.64,5.4766,1.33
0.3,0.1,0.15,673548.32,5.7355,1.00
0.3,0.15000000000000002,0.0,536261.95,4.3626,74.98
0.3,0.15000000000000002,0.05,312776.01,2.1278,1.39
0.3,0.15000000000000002,0.1,647657.64,5.4766,1.33
0.3,0.15000000000000002,0.15,673548.32,5.7355,1.00
0.3,0.2,0.0,547708.62,4.4771,73.05
0.3,0.2,0.05,366077.63,2.6608,1.35
0.3,0.2,0.1,765709.34,6.6571,1.50
0.3,0.2,0.15,673548.32,5.7355,1.00
0.3,0.25,0.0,553797.96,4.5380,71.38
0.3,0.25,0.05,366077.63,2.6608,1.35
0.3,0.25,0.1,765709.34,6.6571,1.50
0.3,0.25,0.15,673548.32,5.7355,1.00
0.3,0.3,0.0,557817.49,4.5782,70.43
0.3,0.3,0.05,490428.41,3.9043,1.38
0.3,0.3,0.1,765709.34,6.6571,1.50
0.3,0.3,0.15,673548.32,5.7355,1.00
0.3,0.35000000000000003,0.0,569346.19,4.6935,69.52
0.3,0.35000000000000003,0.05,490428.41,3.9043,1.38
0.3,0.35000000000000003,0.1,765709.34,6.6571,1.50
0.3,0.35000000000000003,0.15,673548.32,5.7355,1.00
0.3,0.4,0.0,572989.03,4.7299,69.00
0.3,0.4,0.05,438530.57,3.3853,1.40
0.3,0.4,0.1,765709.34,6.6571,1.50
0.3,0.4,0.15,673548.32,5.7355,1.00
0.3,0.45,0.0,578219.76,4.7822,68.60
0.3,0.45,0.05,438530.57,3.3853,1.40
0.3,0.45,0.1,765709.34,6.6571,1.50
0.3,0.45,0.15,673548.32,5.7355,1.00
0.3,0.5,0.0,578423.81,4.7842,68.33
0.3,0.5,0.05,438530.57,3.3853,1.40
0.3,0.5,0.1,765709.34,6.6571,1.50
0.3,0.5,0.15,673548.32,5.7355,1.00
0.35000000000000003,0.05,0.0,501866.56,4.0187,75.73
0.35000000000000003,0.05,0.05,227979.89,1.2798,1.37
0.35000000000000003,0.05,0.1,647657.64,5.4766,1.33
0.35000000000000003,0.05,0.15,673548.32,5.7355,1.00
0.35000000000000003,0.1,0.0,515937.28,4.1594,72.97
0.35000000000000003,0.1,0.05,227979.89,1.2798,1.37
0.35000000000000003,0.1,0.1,647657.64,5.4766,1.33
0.35000000000000003,0.1,0.15,673548.32,5.7355,1.00
0.35000000000000003,0.15000000000000002,0.0,513647.91,4.1365,70.27
0.35000000000000003,0.15000000000000002,0.05,269414.13,1.6941,1.33
0.35000000000000003,0.15000000000000002,0.1,647657.64,5.4766,1.33
0.35000000000000003,0.15000000000000002,0.15,673548.32,5.7355,1.00
0.35000000000000003,0.2,0.0,524178.02,4.2418,68.28
0.35000000000000003,0.2,0.05,315326.25,2.1533,1.29
0.35000000000000003,0.2,0.1,765709.34,6.6571,1.50
0.35000000000000003,0.2,0.15,673548.32,5.7355,1.00
0.35000000000000003,0.25,0.0,530710.69,4.3071,66.50
0.35000000000000003,0.25,0.05,315326.25,2.1533,1.29
0.35000000000000003,0.25,0.1,765709.34,6.6571,1.50
0.35000000000000003,0.25,0.15,673548.32,5.7355,1.00
0.35000000000000003,0.3,0.0,534111.06,4.3411,65.55
0.35000000000000003,0.3,0.05,422437.59,3.2244,1.31
0.35000000000000003,0.3,0.1,765709.34,6.6571,1.50
0.35000000000000003,0.3,0.15,673548.32,5.7355,1.00
0.35000000000000003,0.35000000000000003,0.0,547814.64,4.4781,64.57
0.35000000000000003,0.35000000000000003,0.05,422437.59,3.2244,1.31
0.35000000000000003,0.35000000000000003,0.1,765709.34,6.6571,1.50
0.35000000000000003,0.35000000000000003,0.15,673548.32,5.7355,1.00
0.35000000000000003,0.4,0.0,552596.70,4.5260,64.02
0.35000000000000003,0.4,0.05,377734.64,2.7773,1.33
0.35000000000000003,0.4,0.1,765709.34,6.6571,1.50
0.35000000000000003,0.4,0.15,673548.32,5.7355,1.00
0.35000000000000003,0.45,0.0,558454.98,4.5845,63.60
0.35000000000000003,0.45,0.05,377734.64,2.7773,1.33
0.35000000000000003,0.45,0.1,765709.34,6.6571,1.50
0.35000000000000003,0.45,0.15,673548.32,5.7355,1.00
0.35000000000000003,0.5,0.0,557993.37,4.5799,63.32
0.35000000000000003,0.5,0.05,377734.64,2.7773,1.33
0.35000000000000003,0.5,0.1,765709.34,6.6571,1.50
0.35000000000000003,0.5,0.15,673548.32,5.7355,1.00
0.4,0.05,0.0,477226.32,3.7723,71.47
0.4,0.05,0.05,227979.89,1.2798,1.37
0.4,0.05,0.1,647657.64,5.4766,1.33
0.4,0.05,0.15,673548.32,5.7355,1.00
0.4,0.1,0.0,491423.51,3.9142,68.62
0.4,0.1,0.05,227979.89,1.2798,1.37
0.4,0.1,0.1,647657.64,5.4766,1.33
0.4,0.1,0.15,673548.32,5.7355,1.00
0.4,0.15000000000000002,0.0,493020.55,3.9302,65.80
0.4,0.15000000000000002,0.05,269414.13,1.6941,1.33
0.4,0.15000000000000002,0.1,647657.64,5.4766,1.33
0.4,0.15000000000000002,0.15,673548.32,5.7355,1.00
0.4,0.2,0.0,502319.32,4.0232,63.73
0.4,0.2,0.05,315326.25,2.1533,1.29
0.4,0.2,0.1,765709.34,6.6571,1.50
0.4,0.2,0.15,673548.32,5.7355,1.00
0.4,0.25,0.0,503854.30,4.0385,61.78
0.4,0.25,0.05,315326.25,2.1533,1.29
0.4,0.25,0.1,765709.34,6.6571,1.50
0.4,0.25,0.15,673548.32,5.7355,1.00
0.4,0.3,0.0,504346.50,4.0435,60.70
0.4,0.3,0.05,422437.59,3.2244,1.31
0.4,0.3,0.1,765709.34,6.6571,1.50
0.4,0.3,0.15,673548.32,5.7355,1.00
0.4,0.35000000000000003,0.0,520030.98,4.2003,59.58
0.4,0.35000000000000003,0.05,422437.59,3.2244,1.31
0.4,0.35000000000000003,0.1,765709.34,6.6571,1.50
0.4,0.35000000000000003,0.15,673548.32,5.7355,1.00
0.4,0.4,0.0,524911.67,4.2491,59.03
0.4,0.4,0.05,377734.64,2.7773,1.33
0.4,0.4,0.1,765709.34,6.6571,1.50
0.4,0.4,0.15,673548.32,5.7355,1.00
0.4,0.45,0.0,530804.27,4.3080,58.62
0.4,0.45,0.05,377734.64,2.7773,1.33
0.4,0.45,0.1,765709.34,6.6571,1.50
0.4,0.45,0.15,673548.32,5.7355,1.00
0.4,0.5,0.0,527682.67,4.2768,58.30
0.4,0.5,0.05,377734.64,2.7773,1.33
0.4,0.5,0.1,765709.34,6.6571,1.50
0.4,0.5,0.15,673548.32,5.7355,1.00
0.45,0.05,0.0,468776.15,3.6878,68.50
0.45,0.05,0.05,227979.89,1.2798,1.37
0.45,0.05,0.1,647657.64,5.4766,1.33
0.45,0.05,0.15,673548.32,5.7355,1.00
0.45,0.1,0.0,484900.54,3.8490,65.57
0.45,0.1,0.05,227979.89,1.2798,1.37
0.45,0.1,0.1,647657.64,5.4766,1.33
