date,market,risk,flattened,leader,volume
2021-12-06,508410.90425531915,283711.5436856694,348165.9686555545,350971.4869972569,2211798.2073970926
2021-12-07,518927.30496453895,289580.0729682976,354039.53525932156,358572.3750182553,2282611.601289641
2021-12-08,520301.4184397163,290346.87763747136,355146.82704854826,359866.52945554233,2283833.7595863203
2021-12-09,516788.56382978725,288386.5786041804,352407.2584529553,356146.94386433065,2252878.3781660683
2021-12-10,521653.36879432626,291101.3144894004,354669.5056654004,358009.9509091469,2277929.635950252
2021-12-13,517032.3581560283,288522.6245938725,352009.83968657604,354214.9926232757,2223983.8506792258
2021-12-14,513475.1773049645,286537.58992609207,349124.80526607076,351733.1628866479,2215904.7535253903
2021-12-15,521498.22695035464,291014.7397686872,353260.5132658124,357247.8138255185,2269784.788726686
2021-12-16,516899.3794326241,288448.4176904041,352512.0624772943,354683.51636556035,2226344.951305863
2021-12-17,509607.71276595746,284379.40581688524,348980.09868233075,352073.77678175387,2200100.3161855577
2021-12-20,504188.8297872341,281355.4745005468,344241.734619841,347468.6004910723,2176247.6035433128
2021-12-21,513142.7304964539,286352.07266742096,350993.3397258773,354793.6092403329,2231148.6552407546
2021-12-22,518273.4929078014,289215.22235957783,353624.2586573243,357793.039515736,2256189.433539446
2021-12-23,521498.22695035464,291014.7397686872,355960.51609969337,360268.97881024296,2274858.623514902
2021-12-27,528878.5460992907,295133.222911185,360669.0437464638,365777.9444335219,2319268.041148129
2021-12-28,528446.3652482269,294892.0504749126,361176.9603444576,365315.83374914003,2309081.502657687
2021-12-29,529122.340425532,295269.26890087716,362343.8896999179,366131.3424542399,2306211.4279425335
2021-12-30,527659.5744680851,294452.9929627245,361541.7541500222,365243.39044139587,2293985.0468734507
2021-12-31,526329.7872340425,293710.92392804014,361759.87146956363,365011.3588660542,2288157.172589606
2022-01-03,529377.2163120568,295411.4987991916,362106.4624965865,364102.16618881316,2324349.7610984505
2022-01-04,529199.9113475177,295312.55626123375,365051.4717079637,366948.10196403076,2326922.7874415442
2022-01-05,519038.12056737585,289641.9120545213,359149.8695232364,359148.146223431,2275984.621396109
2022-01-06,518550.5319148936,289369.8200751371,360120.9950438154,359793.4831674594,2284344.563475713
2022-01-07,516500.4432624113,288225.79697999876,359254.25385767774,359035.1014486883,2277392.212965067
2022-01-10,515857.7127659574,287867.1302799014,356801.0933280689,357861.76844955486,2273090.718692842
2022-01-11,520556.2943262411,290489.1075357859,360165.49370495917,360894.8770056693,2300413.9847527556
2022-01-12,521963.65248226945,291274.46393082675,360485.4565217323,361298.7921241516,2305511.8527699253
2022-01-13,514771.719858156,287261.1072349092,358706.4592961767,358530.32869787037,2277009.1545505445
2022-01-14,514982.2695035461,287378.60149873426,358153.96312258695,357654.1297656123,2280978.2462026123
2022-01-18,505862.1453900709,282289.2447025245,352365.6212837151,350605.11891045026,2232215.138142105
2022-01-19,500609.4858156028,279358.0720155216,348704.0679046637,345911.2026360139,2197120.921150033
2022-01-20,495068.7056737589,276266.11770433706,344371.93429953704,340537.2944790676,2159173.1020200956
2022-01-21,485350.17730496457,270842.8298425194,339329.17076676834,334285.2373434341,2109694.5114584635
2022-01-24,487411.34751773044,271993.03684628004,341650.75935961993,335762.33285027574,2115359.4185161768
2022-01-25,481460.54964539007,268672.2779160679,338417.45744769205,332287.98966143763,2089666.9402304504
2022-01-26,480252.65957446804,267998.23187622963,336175.524976396,329905.8443721577,2089079.7985616103
2022-01-27,477881.2056737589,266674.8754310427,333944.0837318526,327327.11416542606,2060813.6969793374
2022-01-28,489749.5567375886,273297.8415655999,339408.1296325092,333196.34274827177,2102101.2589768153
2022-01-31,498570.4787234043,278220.2328290057,344845.4650337775,339935.9178161288,2157439.5815918613
2022-02-01,501939.27304964536,280100.14105020586,347558.7532215417,343805.8206377522,2179347.495049951
2022-02-02,506815.1595744681,282821.0608440483,349781.505852863,345321.62561193976,2196945.450699596
2022-02-03,494902.4822695036,276173.35907500156,344833.8984642283,340586.0684759355,2142285.082481232
2022-02-04,497229.60992907797,277471.97988569905,344542.2056320307,341015.38632584404,2166677.1332627237
