ticker,entry_1,exit_1,entry_2,exit_2,entry_3,exit_3,num_entries,num_exits
FLTWQ,1996-01-02,2000-01-28,,,,,1,1
MDP,1996-01-02,2010-12-31,,,,,1,1
CI,1996-01-02,,,,,,1,0
GPU,1996-01-02,2001-11-05,,,,,1,1
KWP,1996-01-02,1999-11-15,,,,,1,1
ETR,1996-01-02,,,,,,1,0
SHW,1996-01-02,,,,,,1,0
SRR,1996-01-02,1997-10-06,,,,,1,1
UNM,1996-01-02,2021-08-30,,,,,1,1
ADP,1996-01-02,,,,,,1,0
INGR,1996-01-02,1997-07-25,,,,,1,1
RBD,1996-01-02,1999-03-24,,,,,1,1
OAT,1996-01-02,2001-07-31,,,,,1,1
MCD,1996-01-02,,,,,,1,0
CR,1996-01-02,2004-12-16,,,,,1,1
JCI,1996-01-02,,,,,,1,0
SGP,1996-01-02,2009-10-29,,,,,1,1
AEP,1996-01-02,,,,,,1,0
BLL,1996-01-02,2022-04-11,,,,,1,1
HRS,1996-01-02,1999-11-05,2008-09-22,2019-04-02,,,2,2
CHA,1996-01-02,2000-06-16,,,,,1,1
WWY,1996-01-02,2008-10-06,,,,,1,1
T,1996-01-02,,,,,,1,0
ABX,1996-01-02,2002-07-18,,,,,1,1
KATE,1996-01-02,2008-11-28,,,,,1,1
AMD,1996-01-02,2013-09-17,2017-03-20,,,,2,1
APD,1996-01-02,,,,,,1,0
FLMIQ,1996-01-02,1997-12-19,,,,,1,1
PHB,1996-01-02,1999-10-01,,,,,1,1
TDM,1996-01-02,1997-08-26,,,,,1,1
DGN,1996-01-02,1999-10-12,,,,,1,1
CA,1996-01-02,2018-10-31,,,,,1,1
IFF,1996-01-02,,,,,,1,0
ENRNQ,1996-01-02,2001-11-26,,,,,1,1
KR,1996-01-02,,,,,,1,0
GRN,1996-01-02,1998-12-14,,,,,1,1
CAR,1996-01-02,2006-07-31,,,,,1,1
MDR,1996-01-02,2003-08-18,,,,,1,1
DXC,1996-01-02,2015-11-30,2017-04-04,2023-10-05,,,2,2
RYI,1996-01-02,1998-06-30,,,,,1,1
CL,1996-01-02,,,,,,1,0
BMET,1996-01-02,2007-07-10,,,,,1,1
LDW.B,1996-01-02,1999-12-07,,,,,1,1
CCB,1996-01-02,1996-02-01,,,,,1,1
SFA,1996-01-02,2006-02-17,,,,,1,1
PH,1996-01-02,,,,,,1,0
LLY,1996-01-02,,,,,,1,0
SK,1996-01-02,1998-03-30,,,,,1,1
L,1996-01-02,,,,,,1,0
UCM,1996-01-02,2000-10-19,,,,,1,1
RTN,1996-01-02,2020-04-03,,,,,1,1
GD,1996-01-02,,,,,,1,0
LLX,1996-01-02,1997-10-14,,,,,1,1
DD,1996-01-02,2017-08-31,2019-06-03,,,,2,1
F,1996-01-02,,,,,,1,0
PCAR,1996-01-02,,,,,,1,0
TXN,1996-01-02,,,,,,1,0
INTC,1996-01-02,,,,,,1,0
HPC,1996-01-02,2008-11-13,,,,,1,1
EMR,1996-01-02,,,,,,1,0
GDW,1996-01-02,2006-09-28,,,,,1,1
HM,1996-01-02,2001-12-14,,,,,1,1
DEC,1996-01-02,1998-06-08,,,,,1,1
BCR,1996-01-02,2017-12-27,,,,,1,1
AEE,1996-01-02,,,,,,1,0
UCC,1996-01-02,1999-04-28,,,,,1,1
SMI,1996-01-02,2000-12-11,,,,,1,1
FBF,1996-01-02,2004-03-29,,,,,1,1
CG,1996-01-02,2000-10-30,,,,,1,1
MEA,1996-01-02,2002-01-28,,,,,1,1
ASC,1996-01-02,1999-06-23,,,,,1,1
NYT,1996-01-02,2010-12-17,,,,,1,1
NSI,1996-01-02,2001-11-30,,,,,1,1
NSC,1996-01-02,,,,,,1,0
TMC,1996-01-02,2000-06-09,,,,,1,1
JWN,1996-01-02,2020-05-22,,,,,1,1
MSFT,1996-01-02,,,,,,1,0
WY,1996-01-02,,,,,,1,0
H,1996-01-02,2001-06-25,2006-08-01,2007-04-05,,,2,2
HDLM,1996-01-02,1996-03-05,,,,,1,1
NRTLQ,1996-01-02,2002-07-18,,,,,1,1
UN,1996-01-02,2002-07-18,,,,,1,1
PPG,1996-01-02,,,,,,1,0
WMB,1996-01-02,,,,,,1,0
CAT,1996-01-02,,,,,,1,0
JP,1996-01-02,2006-03-30,,,,,1,1
TOY,1996-01-02,2005-07-21,,,,,1,1
BDX,1996-01-02,,,,,,1,0
FWLT,1996-01-02,2000-01-28,,,,,1,1
BHMSQ,1996-01-02,2000-12-08,,,,,1,1
DIGI,1996-01-02,1998-08-26,,,,,1,1
EKDKQ,1996-01-02,2010-12-17,,,,,1,1
GPC,1996-01-02,,,,,,1,0
MMM,1996-01-02,,,,,,1,0
VAT,1996-01-02,1996-08-28,,,,,1,1
NC,1996-01-02,2000-06-02,,,,,1,1
VFC,1996-01-02,2024-04-03,,,,,1,1
ADM,1996-01-02,,,,,,1,0
TJX,1996-01-02,,,,,,1,0
PAC,1996-01-02,1997-03-19,,,,,1,1
UST,1996-01-02,2009-01-05,,,,,1,1
MS,1996-01-02,,,,,,1,0
CBB,1996-01-02,1998-01-26,,,,,1,1
